Patent Summary,Result
"본 발명은 부동산 담보 대출금리 설정관리 시스템에 관한 것으로, 기준금리로 설정되는 변동금리의 기간을 고객이 자유롭게 선택하고, 각 고객별 옵션 금리의 설정정보를 관리하여 고객별로 상이한 대출 금리가 적용될 수 있도록 하고, 대출 금리상승에 대한 헤지를 위해 파생상품을 연동처리하여, 고객의 선택에 따라 금리의 상한선을 설정하고, 각 고객별로 그 상한선 이하에서 기준금리가 자동으로 변동 적용될 수 있도록 한 부동산 담보 대출금리 설정관리 시스템을 제공하는 데 그 목적이 있다. 본 발명을 통해, 고객은 다양한 기준금리를 선택할 수 있으며, 금리 상한이 제한된 옵션 금리를 선택할 수 있으므로 부동산 담보 대출에 대한 시장금리 변동시에도 안정적인 대출금리를 유지할 수 있고, 금융기관은 고객의 기준 금리 변동이나 옵션 금리선택시 옵션 설정비용을 부과하므로 신규한 수수료 수입이 발생되고, 시장금리와 고객의 적용금리간의 금리차는 파생상품으로 보전함으로써 안정적인 수익을 확보할 수 있게 된다는 장점이 있다. 부동산 담보대출, 옵션금리, 대출금리 설정관리.",거절
"본 발명은 기능성 거울에 관한 것으로, 거울의 일면에 형성되며, 발열 동작을 통해 상기 거울의 정면에 열을 전달하기 위한 발열 유닛, 상기 거울의 일면에 형성되며, 상기 거울의 정면 방향으로 빛을 조사하기 위한 광원 유닛, 상기 발열 유닛과 상기 광원 유닛을 제어하기 위한 제어 유닛, 및 상기 제어 유닛을 제어하기 위한 센서 유닛을 포함하는 기능성 거울을 제공하며, 거울의 김서림 현상을 막아 줄 수 있는 효과가 있다.",등록
"본 발명은 시트에 앉은 승객에 의한 제1 전극 및 제2 전극 사이의 전기장 변화에 따라 상기 시트에 앉은 승객을 감지하는 자동차에 관한 것으로서, 이를 위해, 본 발명은 승객이 앉을 수 있도록 마련된 시트와, 상기 시트에 배치된 제1 전극과, 상기 시트에 상기 제1 전극과 이격되어 배치되고 상기 제1 전극과의 사이에 전기장을 형성하는 제2 전극과, 상기 시트에 앉은 승객에 의한 상기 전기장의 변화에 따른 전류값을 측정하는 전류계를 포함하는 자동차를 제공한다.",등록
"본 발명은 내비게이션의 목적지 자동 설정 방법 및 기록매체에 관한 것으로서, 휴대폰으로부터 문자메시지가 블루투스 통신으로 수신되면 수신된 메시지의 타입을 확인하는 메시지확인단계, 상기 메시지확인단계의 확인결과 주소정보가 포함된 메시지인 경우, 메시지로부터 목적지 정보를 추출하는 정보추출단계, 상기 추출한 목적지 정보를 기반으로 후보 목적지들을 검색하여 경로설정 목적지를 추출하는 목적지검색단계 및 상기 목적지검색단계에서 목적지가 추출되면 자동설정버튼을 활성화하여 화면에 표시하는 버튼표시단계를 포함하는 방법 및 기록매체를 제공한다. 본 발명에 따른 내비게이션의 목적지 자동 설정 방법 및 기록매체에 의하면, 블루투스 통신을 통해 휴대폰과 내비게이션이 연동하여 내비게이션 화면에 자동설정버튼을 만들어 목적지를 설정할 수 있도록 함으로써, 차량 운전자들이 운행중에 보다 용이하면서도 신속하게 내비게이션의 목적지를 입력한다는 효과가 얻어진다.",거절
"본 발명은 진동에 의해 촉각 정보를 표현하기 위한 햅틱 장치 및 그 제어 방법에 관한 것이다. 본 발명의 햅틱 장치 및 그 제어 방법은 복수의 위치 센서를 통해 사용자에 의한 다이얼 스위치의 조작량 뿐만 아니라 조작 방향을 검출하고, 복수의 진동 소자를 채택하여 진동 소자의 진동 발생 순서 조절에 의해 진동의 방향성을 표현함으로써, 사용자의 다이얼 스위치 조작에 대응하여 피드백되는 촉각 정보의 식별력을 향상시킬 수 있다. 또한, 본 발명은 고가의 대형 모터 및 진동 발생부 대신에 복수 개의 소형 진동 소자를 이용하여 햅틱 장치를 구현함으로써, 제품 단가를 낮추고 햅틱 장치의 소형화를 달성할 수 있다. 햅틱, 진동 소자, 진동 방향성, 촉각, 식별력",등록
"공기질 제어 시스템이 제공된다. 공기질 제어 시스템은 구획된 복수개의 구역을 설정하여, 상기 각 구역에서의 공기 상태를 감지하는 복수개의 측정센서, 상기 측정센서의 신호를 전송하는 송신유닛, 상기 측정센서와 원격에 위치하며, 상기 송신유닛의 신호를 수신하여, 이에 상응하는 제어신호를 발생시켜 송신하는 관제센터, 상기 제어신호를 수신하는 수신유닛, 상기 측정센서의 인근인 실내에 설치되며, 상기 수신유닛에서 수신한 상기 제어신호를 전달받아, 공기질을 개선하는 제어동작을 수행하는 제어장치, 및 상기 제어신호를 수신받아 이를 서비스 내용으로 번역하여 디스플레이하는 단말기를 포함하며, 상기 제어신호는 상기 구획 및 실내를 기설정된 등급에 따라 제어등급을 부여하고, 상기 제어등급에 따라 서로 다른 신호가 발생한다. 이와 같이 구성되어, 이용자의 건강 및 편의를 위하여 공기질을 실시간으로 감시하여 보다 정확하고 간편하게 공기질을 진단하고, 이를 신속히 개선할 수 있으며, 공기질은 시간에 따라 계속 변화하므로, 실시간으로 변화가 감시되고 공기질이 개선되어 시의적절한 공기질 개선이 이루어질 수 있고, 공기질을 개선하기 위한 장치로서 공조 시스템만을 연구하였기에, 완전한 공기질의 제어를 위한 다양한 서비스 시나리오가 제공할 수 있을 뿐만 아니라, 원격지에서 자동으로 공기질이 파악되어, 서비스 수행자나 수혜자가 현재의 상태를 파악할 수 있고, 이에 따라 서비스 수행이나 서비스 지시를 할 수 있고, 서비스 수행자가 일일이 방문하지 않아도, 공기질이 파악되어 인력의 효율적 운영이나 경비 절감이 가능하고, 상대적으로 비용이 저렴한 통신 수단을 장착하고, 복수개의 측정센서의 정보가 관제센터에 집중됨으로서, 적은 비용으로도 효율적으로 공기질의 관리가 가능하며, 복수개의 측정센서의 정보가 관제센터에 집중됨으로서, 공기질의 데이터베이스가 이루어질 수 있어서, 공기질의 변화에 대한 연구가 수행될 수 있는 기반이 마련될 수 있다.",거절
체류자격 변경을 희망하는 외국인과 상담사와의 연결을 적절하게 수행하여 해당 외국인에 대한 비자 상담이 원활하게 이루어지도록 하는 외국인 맞춤형 비자 상담 서비스 제공 장치 및 방법을 제시한다. 제시된 장치는 사용자의 현재의 체류자격 및 변경 체류자격을 포함하는 비자 상담 요청 내역을 사용자 단말로부터 수신하는 비자 상담 요청 수신부; 상기 비자 상담 요청 내역에 대응되는 질문을 상기 사용자 단말에게로 송신하는 질문 송신부; 상기 사용자 단말로부터 상기 질문에 대한 회답을 수신하는 질문 회답 수신부; 상기 비자 상담 요청 내역 및 상기 회답을 근거로 비자 상담을 위한 기초 자료로서의 상담 설문지를 생성하는 상담 설문지 생성부; 및 상기 상담 설문지를 상담사 단말에게로 전송하는 상담 설문지 송신부;를 포함한다.,등록
"본 발명은 네트워크를 통한 각종 장비의 전자진단시스템(e-Diagnostics System)의 구축에 관한 것으로 더욱 상세하게는 각종 장비의 운용데이터의 취합, 분석과 활용 그리고 제어를 위한 시스템에 관한 것으로 제조사나 장비 모델마다 다른 데이터 입출력방식과 데이터 형식에 구애됨이 없이 각종 장비로부터 운용데이터를 주기적으로 획득하고, 획득된 데이터를 데이터베이스 저장과 네트워크 전송에 알맞도록 최적화시킨 후 정해진 형식으로 서버로 전송하고, 전송된 데이터를 데이터베이스에 저장하고 각종 통계학적인 기법을 사용한 분석을 하여, 분석된 데이터를 다시 장비 사용 고객이나 제조사에 제공하며, 장비 사용 고객에게는 장비의 상태와 성능에 대한 정보를 제공하여 장비의 운용과 유지보수에 도움을 주고 타 장비와의 비교 데이터를 제공함으로 인하여 향후 구매 결정을 위한 구체적인 지침을 제공하며, 제조사에게는 장비의 개선과 개발 그리고 서비스에 필요한 가장 실제적인 데이터를 제공하여 장비의 개발, 운전, 서비스, 개선 그리고 구매와 같은 모든 제품수명(Lifecycle)에 걸친 과정을 객관적인 실제 데이터에 근거하여 효율적으로 향상시킬 수 있는 효과가 있고, 또한 장비의 종류에 관계없이 통합된 제어를 가능하게 함으로 인하여 결과적으로 장비 사용자에게는 사업장 전체 차원의 통합된 전자진단시스템을 신형 구형 장비에 관계없이 가능하게 하고 제조자에게는 기존 설치된 장비와 향후 개발될 장비를 위한 고가의 전자진단시스템 개발에 필요한 시간과 노력 그리고 비용을 절감하는 매우 뛰어난 효과가 있다. 네트워크, 데이터 처리기, 운용데이터, 장비, 통계학적 기법, 데이터 입출력방식, 데이터베이스, 서버, 전자진단, e-Diagnostics",등록
"본 발명은 방진 및 방독 마스크의 정화공기 송급 장치에 관한 것으로 각종 유해물질로부터 호흡기를 보호하는 방진 및 방독 마스크가 안면부에 착설됨으로 인해 불편과 어려움을 초래하고 있어 만면부에 최소한의 호흡장치를 착용토록 하고 공기필터 및 송급 장치를 훙부의 운동에 따라 작동하도록 함으로서 안면부 착용으로 인한 불편을 해소하고 필터 및 공기정화 시스템의 효율적인 적용과 필터 교체시기의 연장 등 다수의 사용상의 이점을 가진 유용한 발명이다 방진 마스크, 방독 마스크, 무전원 호흡장치, 정화공기 송급, 흡기, 배기, 필터",거절
"본 발명의 배기팬이 장착된 헤드 보호구는 제 1 관통공이 형성된 후드와, 상기 제 1 관통공에 설치되는 투명창과, 상기 투명창 아래에 배치되는 제 2 관통공에 설치되는 제 1 필터부와, 착용자의 목 부위에 후드를 밀착시키기 위해 후드의 폭을 조절하는 사이즈 조절부와, 후드 상면에 형성된 제 3 관통공과. 상기 제 3 관통공에 배치되는 제 2 필터부와, 상기 제 3 관통공의 둘레를 따라 후드 내면에 설치되는 제 1-1 부착부와, 상기 투명창 상측의 후드 내면에 배치되는 제 2-1 부착부로 이루어진 외피부와; 착용자의 이마를 감싸는 이마 프레임과, 상기 이마 프레임을 감싸는 이마 쿠션부와, 상기 이마 쿠션부에 설치되어 상기 제 2-1부착부와 탈착가능하게 결합되는 제 2-2 부착부와, 착용자의 정수리 부위를 감싸도록 이루어진 정수리 프레임과, 후두부 부위를 감싸도록 이루어진 후두부 프레임와, 상기 후두부 프레임의 길이를 조절하는 후두부 프레임 조절부와, 상기 정수리 프레임에 설치되는 배기팬 장착부로 이루어진 헤드기어와; 상기 헤드기어의 배기팬 장착부에 연결되는 배기팬 프레임과, 상기 배기팬 프레임에 설치되는 모터와 팬과, 상기 모터를 작동시키기 위한 전원공급부와, 상기 제 1-1 부착부와 탈착가능하게 결합을 이루는 제 1-2 부착부로 이루어진 배기팬으로 이루어진 것을 특징으로 한다.",등록
"본 발명은 적어도 하나의 학습자 단말기와 네트워크를 통하여 연결된 서버 컴퓨터를 구비한 컴퓨터 시스템을 이용하여 학습자 성향 교정 서비스를 운영하는 방법에 있어서, 과거 합격생 모델의 성향과 관련된 합격생 성향 정보를 입력받는 단계; 상기 학습자 단말기로부터 학습자의 학습자 성향과 관련된 학습자 성향 정보를 입력받는 단계; 상기 합격생 성향 정보들 중에서 상기 학습자 성향 정보와 유사한 과거 합격생 모델의 합격생 성향 정보를 매칭하는 매칭 정보를 생성하는 단계; 및 매칭된 과거 합격생 모델의 상기 합격생 성향 정보와 비교하여 상기 학습자의 행동 성향이 과거 합격생 모델의 행동 성향과 유사해지도록 상기 학습자 단말기로 상기 학습자의 행동 성향을 교정할 수 있는 행동 성향 교정 정보를 전송하는 단계;를 포함할 수 있다.",등록
"본 발명은 적어도 하나의 학습자 단말기와 네트워크를 통하여 연결된 서버 컴퓨터를 구비한 컴퓨터 시스템을 이용하여 학습자 성향 교정 서비스를 운영하는 방법에 있어서, 과거 합격생 모델의 성향과 관련된 합격생 성향 정보 및 과거 불합격생 모델의 성향과 관련된 불합격생 성향 정보를 입력받는 단계; 상기 학습자 단말기로부터 학습자의 학습자 성향과 관련된 학습자 성향 정보를 입력받는 단계; 상기 합격생 성향 정보들 또는 상기 불합격생 성향 정보들 중에서 상기 학습자 성향 정보와 유사한 과거 합격생 모델 또는 불합격생 모델의 성향 정보를 매칭하는 매칭 정보를 생성하는 단계; 및 매칭된 과거 합격생 모델의 상기 합격생 성향 정보와 비교하여 상기 학습자의 학습 성향이 과거 합격생 모델의 학습 성향과 유사해지거나 또는 매칭된 과거 불합격생 모델의 상기 불합격생 성향 정보와 비교하여 상기 학습자의 학습 성향이 과거 불합격생 모델의 학습 성향과 비유사해지도록 상기 학습자 단말기로 상기 학습자의 학습 성향을 교정할 수 있는 학습 성향 교정 정보를 전송하는 단계;를 포함할 수 있다.",등록
"본 발명은 적어도 하나의 학습자 단말기와 네트워크를 통하여 연결된 서버 컴퓨터를 구비한 컴퓨터 시스템을 이용하여 학습자 성향 교정 서비스를 운영하는 방법에 있어서, 과거 합격생 모델의 성향과 관련된 합격생 성향 정보를 입력받는 단계; 상기 학습자 단말기로부터 학습자의 학습자 성향과 관련된 학습자 성향 정보를 입력받는 단계; 상기 합격생 성향 정보들 중에서 상기 학습자 성향 정보와 유사한 과거 합격생 모델의 합격생 성향 정보를 매칭하는 매칭 정보를 생성하는 단계; 및 매칭된 과거 합격생 모델의 상기 합격생 성향 정보와 비교하여 상기 학습자의 학습 성향이 과거 합격생 모델의 학습 성향과 유사해지도록 상기 학습자 단말기로 상기 학습자의 학습 성향을 교정할 수 있는 학습 성향 교정 정보를 전송하는 단계;를 포함할 수 있다.",등록
"본 발명은 적어도 하나의 학습자 단말기와 네트워크를 통하여 연결된 서버 컴퓨터를 구비한 컴퓨터 시스템을 이용하여 학습 데이터 분석 서비스를 운영하는 방법에 있어서, 상기 학습자 단말기로부터 학습자의 학습자 성향과 관련된 학습자 성향 정보를 입력받는 단계; 상기 학습자 단말기 또는 운영자 단말기로부터 상기 학습자의 합격 결과에 대한 합격 결과 정보를 입력 받는 단계; 및 상기 학습자의 상기 학습자 성향 정보와 상기 합격 결과 정보와의 상관 관계를 분석하여 분석 정보를 산출하는 단계;를 포함할 수 있다.",등록
"신용카드 가맹점의 매출채권에 할인율 및 회수율을 적용한 여신정보를 제공하는 여신정보 단말기는 매출금액 등에 따라 결정되는 환산 매출액에 따라 할인율 및 회수율을 적용하여 여신금액을 산정하고 그 결과를 표시하고, 여신요청 여부에 따라 대출기관에 여신을 요청한다. 이와 같이 구성되는 신용카드 가맹점의 매출채권에 할인율 및 회수율을 적용한 여신정보를 제공하는 여신정보 단말기에 의하면, 매출채권의 증감에 따라 할인율 또는 회수율을 변경하여 효율적인 상환 및 이자수익을 증가시킬 수 있고, 시스템 서버가 작동하지 않는 시간에도 사용할 수 있으므로 사용상의 편리성이 증대되는 이점이 있다. 매출채권, 할인율, 회수율, 여신정보 단말기",등록
"본 발명의 일 실시예는 수질 및 안전 관리 정보 제공 시스템에 관한 것으로, 해결하고자 하는 기술적 과제는 저수지의 수질 정보와, 안전 관리 정보를 안내패널에 실시간으로 표시하여 안내할 수 있게 하는데 있다. 이를 위해 본 발명의 일 실시예는 태양전지판과, 상기 태양전지판에서 생산한 전력을 저장하는 배터리와, 상기 태양전지판, 배터리 및 상용전원 중 적어도 하나로부터 공급되는 전력을 일정하게 공급하는 레귤레이터를 포함하는 전원공급모듈; 저수지 내외부에 설치되는 복수의 센서들로 구성된 IoT 모듈에 의하여 실시간으로 측정된 저수지의 수질상태 정보를 분석한 후 구축된 데이터베이스에 저장하고, 상기 데이터베이스에 저장된 분석결과를 외부로 전송하는 수질관리 서버; 및 상기 전원공급모듈로부터 공급되는 전력에 의하여 동작되고, 상기 수질관리 서버로부터 수신된 분석결과 정보를 표시하는 안내패널을 포함하는 수질 및 안전 관리 정보 제공 시스템을 개시한다.",등록
"본 발명은 표준화된 공정운영자료와 공정모사를 이용한 에너지 절감용 하수처리장 운영지원방법 및 그 시스템에 관한 것으로 더욱 상세하게는, 하수처리장으로 유입/유출되는 과거의 축적된 각종 수질데이터와 그 표준화 된 공정운영자료들로부터 각 자료항목들에 대한 그 분포특성을 나타내는 제 3사분위수를 도출하여, 에너지를 절감하기 위한 새로운 운전 조건의 설정하고, 수학적 모델로 구성된 공정모사를 통해 새로운 운전 조건에 따른 공정운영에 의한 유출수의 교란발생 여부를 확인하여, 허용 가능한 유출수질의 변화범위 안에서 최적상태의 에너지 절감효과를 얻을 수 있는 표준화된 공정운영자료와 공정모사를 이용한 에너지 절감용 하수처리장 운영지원방법 및 그 시스템에 관한 것이다.",등록
"본 발명은 무선칩에 관한 것이다. 상기 무선칩은 회로층을 포함하고, 상기 회로층의 상부에 마이크로스트립 안테나가 설치되고, 회로층과 마이크로스트립 안테나 사이에 전파흡수체가 설치되어 있다. 마이크로스트립 안테나를 회로층의 상부에 설치하고, 에너지 흡수 기능을 구비한 전파흡수체를 이용하여 회로와 안테나를 격리시키고 또한 마이크로스트립 안테나 중의 금속막을 안테나의 무선주파수 그라운드로서의 작용뿐만 아니라 간섭차단 작용도 하도록 함으로써 회로가 안테나로부터 받는 간섭 문제점을 효과적으로 해결하였고, 적정한 유전율을 가진 매체를 선택함으로써 칩의 높이를 과도하게 증가시키지 아니하고, 칩 및 이 칩을 사용하는 무선장치의 소형화를 보장한다. 또한 본 발명은 상기 무선칩을 포함한 무선장치를 제공한다.",등록
"본 발명은 일상 생활에서 발생하는 중요한 가청음(일예 : 화재 통보기의 경보음,가스 누출 경보기의 경보음,휴대 전화기의 호출음, 팩시밀리 장치의 호출음, 전자레인지의 가열 종료 통보음,세탁기 그 밖의 전기 제품으로부터 발생한 통보음,방문자의 벨 소리)을 청각 장애인이 시퀀스 제어를 통해 시각적, 촉각적 또는 시각적 + 촉각적으로 동시에 인식할 수 있도록, 특정 생활음 검출 수단과, 청각장애인용 통보 수단으로 구성된 청각장애인용 인식장치를 제공하는데 그 목적이 있다. 가청음, 청각장애인, 마이컴부, 인식 장치",등록
